id,field,token_count,text
1684,problem,6,Here is the new question:
4412,problem,6,Juan's old stamping grounds
6155,problem,6,Expand the following expression: $(
5216,problem,7,What value does ∇ equal?
46,problem,8,"In the diagram below, , find ."
6448,problem,8,What is the smallest positive perfect square that
5215,problem,9,What is the product of the given matrices?
5673,problem,9,What is their average daily profit per loaf?
6631,problem,9,Describe the set t and find its area.
7119,problem,9,Find the product of the given matrix sequence.
